,locations,text
0,Naya Pakistan,"RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
1,کمرے میں۔,"RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
2,Pakistan,"RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
3,Arkham Asylium,"RT @JulianRoepcke: Russian newspaper (which's e-i-c advices Vladimir Putin) calls for Russia to send a ""Poseidon"" underwater drone &amp; detona…"
4,indonesia,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
5,Iowa,"RT @TheUnumPundit: Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying.
#ReviveCivility #politics #news #…"
6,Amsterdam,"i remember @martfack, former NYT correspondent in japan, bemoaning the way Japanese journalists in the days after t… https://t.co/gY6hpCLL1E"
7,Amsterdam,'Where were you when the tsunami hit?' and the mayor revealed his amazing tale of survival and the fact that he sti… https://t.co/tjtRu8Qwvt
8,Namkanda,"@Smeraldo_Books In my opinion bts are like tsunami waves,uh won't realise unless its really near to the shore and y… https://t.co/EYtMmpxfPV"
9,boston,"RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
10,Lahore,"RT @gilmour_wendy: Saw first hand the ""billion tree tsunami"" today: reforestation is key in addressing climate change.  These saplings were…"
11,nowhere,"tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

People suffering so… https://t.co/ls5uytIs2W"
12,"Las Vegas, Nevada",RT @rockybalboahp: Change creates a ripple in the pond effect. The smallest change is the equivalent of casting the first stone. Each subse…
13,ph,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
